lp.;data;nazwa produktu;kolor;rozmiar;cena
1045;30.05.2022;gitara elektryczna;czerwony;34;480
1046;31.05.2022;ukulele basowe;bia造;15;879
1047;31.05.2022;ukulele basowe;niebieski;15;879
1048;31.05.2022;ukulele basowe;lipa;15;1499
1049;31.05.2022;gitara elektryczna;buk;38;699
1050;31.05.2022;gitara elektryczna;lipa;30;299
1051;01.06.2022;gitara elektryczna;buk;30;695
1052;01.06.2022;ukulele basowe;klon;15;1199
1053;01.06.2022;ukulele basowe;buk;15;1199
1054;01.06.2022;ukulele tenorowe;lipa;17;1853
1055;01.06.2022;ukulele tenorowe;czerwony;17;399
1056;02.06.2022;gitara akustyczna;czarny;38;1400
1057;02.06.2022;gitara elektryczna;niebieski;30;695
1058;02.06.2022;ukulele basowe;lipa;15;879
1059;02.06.2022;ukulele basowe;lipa;15;879
1060;02.06.2022;gitara akustyczna;czarny;38;499
1061;02.06.2022;gitara elektryczna;niebieski;39;1199
1062;02.06.2022;ukulele tenorowe;czerwony;17;399
1063;02.06.2022;gitara elektryczna;niebieski;34;699
1064;02.06.2022;gitara elektryczna;klon;38;1599
1065;02.06.2022;gitara akustyczna;czerwony;34;260
1066;02.06.2022;ukulele basowe;czerwony;15;1199
1067;02.06.2022;ukulele sopranowe;czarny;13;169
1068;04.06.2022;gitara klasyczna;bia造;30;399
1069;04.06.2022;gitara akustyczna;niebieski;38;1699
1070;04.06.2022;gitara akustyczna;lipa;38;649
1071;04.06.2022;gitara elektryczna;bia造;38;899
1072;04.06.2022;ukulele basowe;niebieski;15;1199
1073;04.06.2022;ukulele basowe;lipa;15;1199
1074;04.06.2022;gitara elektryczna;buk;34;695
1075;04.06.2022;gitara akustyczna;czarny;39;955
1076;04.06.2022;gitara akustyczna;lipa;30;499
1077;04.06.2022;gitara klasyczna;bia造;30;399
1078;05.06.2022;gitara elektryczna;klon;39;699
1079;05.06.2022;ukulele basowe;niebieski;15;1499
1080;05.06.2022;ukulele tenorowe;r騜owy;17;399
1081;05.06.2022;ukulele sopranowe;czarny;13;169
1082;05.06.2022;ukulele basowe;bia造;15;699
1083;05.06.2022;gitara elektryczna;czerwony;38;699
1084;06.06.2022;ukulele sopranowe;czarny;13;169
1085;06.06.2022;ukulele basowe;lipa;15;1499
1086;06.06.2022;gitara elektryczna;niebieski;39;899
1087;06.06.2022;ukulele sopranowe;niebieski;13;229
1088;06.06.2022;gitara elektryczna;buk;38;1299
1089;06.06.2022;ukulele sopranowe;buk;13;229
1090;06.06.2022;ukulele koncertowe;czerwony;15;265
1091;06.06.2022;gitara akustyczna;lipa;38;1699
1092;06.06.2022;ukulele tenorowe;czarny;17;399
1093;08.06.2022;gitara basowa;niebieski;30;499
1094;08.06.2022;ukulele tenorowe;buk;17;1853
1095;08.06.2022;ukulele basowe;czerwony;15;699
1096;08.06.2022;ukulele basowe;bia造;15;699
1097;08.06.2022;gitara elektryczna;bia造;39;699
1098;08.06.2022;ukulele koncertowe;klon;15;1379
1099;08.06.2022;ukulele tenorowe;lipa;17;229
1100;08.06.2022;gitara elektryczna;czerwony;34;695
1101;09.06.2022;gitara akustyczna;klon;38;955
1102;09.06.2022;gitara elektryczna;czarny;38;1599
1103;09.06.2022;ukulele basowe;niebieski;15;1499
1104;09.06.2022;ukulele koncertowe;klon;15;1199
1105;09.06.2022;ukulele tenorowe;lipa;17;229
1106;09.06.2022;gitara elektryczna;czerwony;30;1299
1107;11.06.2022;gitara klasyczna;niebieski;39;1099
1108;11.06.2022;ukulele koncertowe;czarny;15;379
1109;11.06.2022;ukulele koncertowe;bia造;15;1379
1110;11.06.2022;gitara klasyczna;jesion;34;499
1111;11.06.2022;ukulele sopranowe;czerwony;13;259
1112;11.06.2022;gitara klasyczna;niebieski;39;1099
1113;11.06.2022;gitara elektryczna;klon;38;899
1114;11.06.2022;ukulele koncertowe;bia造;15;1379
1115;11.06.2022;ukulele sopranowe;czerwony;13;229
1116;11.06.2022;gitara klasyczna;czerwony;30;399
1117;12.06.2022;gitara akustyczna;lipa;34;360
1118;12.06.2022;ukulele koncertowe;czarny;15;679
1119;12.06.2022;gitara klasyczna;bia造;39;360
1120;13.06.2022;ukulele sopranowe;niebieski;13;229
1121;13.06.2022;ukulele koncertowe;bia造;15;1379
1122;13.06.2022;gitara elektryczna;czarny;38;699
1123;13.06.2022;ukulele tenorowe;czarny;17;699
1124;13.06.2022;ukulele sopranowe;czerwony;13;169
1125;13.06.2022;gitara klasyczna;bia造;34;499
1126;13.06.2022;ukulele basowe;niebieski;15;1499
1127;13.06.2022;gitara klasyczna;bia造;39;499
1128;13.06.2022;gitara elektryczna;czarny;38;1599
1129;13.06.2022;ukulele sopranowe;czerwony;13;169
1130;13.06.2022;ukulele koncertowe;buk;15;679
1131;13.06.2022;ukulele tenorowe;niebieski;17;1853
1132;14.06.2022;ukulele koncertowe;klon;15;1199
1133;14.06.2022;ukulele basowe;r騜owy;15;1199
1134;14.06.2022;gitara akustyczna;czarny;30;399
1135;14.06.2022;ukulele tenorowe;niebieski;17;229
1136;14.06.2022;ukulele sopranowe;czarny;13;169
1137;14.06.2022;ukulele basowe;lipa;15;1499
1138;14.06.2022;gitara akustyczna;czarny;39;1129
1139;15.06.2022;gitara akustyczna;lipa;38;1400
1140;15.06.2022;ukulele koncertowe;czarny;15;1199
1141;15.06.2022;ukulele tenorowe;niebieski;17;229
1142;15.06.2022;gitara elektryczna;lipa;34;480
1143;15.06.2022;ukulele koncertowe;klon;15;679
1144;15.06.2022;gitara akustyczna;bia造;39;955
1145;16.06.2022;ukulele koncertowe;czarny;15;1379
1146;16.06.2022;ukulele tenorowe;czarny;17;699
1147;16.06.2022;gitara elektryczna;lipa;38;1299
1148;16.06.2022;gitara akustyczna;buk;30;399
1149;16.06.2022;gitara elektryczna;buk;34;480
1150;16.06.2022;ukulele koncertowe;lipa;15;679
1151;16.06.2022;ukulele sopranowe;czerwony;13;169
1152;16.06.2022;ukulele koncertowe;klon;15;1379
1153;16.06.2022;gitara elektryczna;lipa;30;895
1154;16.06.2022;gitara klasyczna;lipa;30;699
1155;18.06.2022;ukulele basowe;bia造;15;1499
1156;18.06.2022;ukulele sopranowe;czerwony;13;229
1157;18.06.2022;gitara elektryczna;niebieski;30;399
1158;18.06.2022;ukulele sopranowe;lipa;13;259
1159;18.06.2022;gitara basowa;czerwony;34;450
1160;18.06.2022;gitara basowa;lipa;34;450
1161;18.06.2022;gitara elektryczna;bia造;38;1599
1162;19.06.2022;gitara elektryczna;niebieski;38;699
1163;19.06.2022;gitara klasyczna;czerwony;30;299
1164;19.06.2022;ukulele tenorowe;lipa;17;1853
1165;19.06.2022;ukulele basowe;czarny;15;1199
1166;19.06.2022;gitara elektryczna;czerwony;30;695
1167;19.06.2022;ukulele tenorowe;jesion;17;399
1168;19.06.2022;ukulele sopranowe;czerwony;13;229
1169;20.06.2022;ukulele basowe;klon;15;879
1170;20.06.2022;gitara akustyczna;czarny;34;260
1171;20.06.2022;gitara akustyczna;czerwony;38;1699
1172;20.06.2022;ukulele sopranowe;bia造;13;229
1173;20.06.2022;gitara elektryczna;niebieski;30;695
1174;20.06.2022;ukulele basowe;czerwony;15;1499
1175;20.06.2022;ukulele tenorowe;czarny;17;399
1176;20.06.2022;ukulele sopranowe;bia造;13;229
1177;20.06.2022;ukulele sopranowe;klon;13;229
1178;20.06.2022;ukulele basowe;lipa;15;1499
1179;20.06.2022;ukulele basowe;jesion;15;1199
1180;20.06.2022;ukulele koncertowe;niebieski;15;679
1181;20.06.2022;ukulele basowe;niebieski;15;879
1182;21.06.2022;gitara akustyczna;czerwony;39;1129
1183;21.06.2022;ukulele tenorowe;czarny;17;399
1184;21.06.2022;ukulele tenorowe;lipa;17;399
1185;21.06.2022;ukulele tenorowe;klon;17;699
1186;21.06.2022;gitara akustyczna;lipa;30;399
1187;21.06.2022;ukulele koncertowe;czarny;15;379
1188;21.06.2022;gitara elektryczna;buk;30;895
1189;21.06.2022;ukulele koncertowe;buk;15;379
1190;21.06.2022;ukulele basowe;niebieski;15;1199
1191;21.06.2022;gitara klasyczna;czarny;39;1099
1192;21.06.2022;gitara akustyczna;buk;30;899
1193;22.06.2022;gitara klasyczna;lipa;34;569
1194;22.06.2022;ukulele tenorowe;jesion;17;699
1195;22.06.2022;gitara elektryczna;niebieski;34;699
1196;22.06.2022;ukulele koncertowe;klon;15;679
1197;22.06.2022;ukulele koncertowe;bia造;15;1379
1198;23.06.2022;gitara klasyczna;czerwony;38;1359
1199;23.06.2022;gitara klasyczna;niebieski;30;299
1200;23.06.2022;ukulele koncertowe;klon;15;379
1201;23.06.2022;ukulele sopranowe;czarny;13;259
1202;23.06.2022;ukulele basowe;lipa;15;1199
1203;23.06.2022;ukulele sopranowe;czerwony;13;229
1204;23.06.2022;ukulele sopranowe;lipa;13;229
1205;25.06.2022;gitara akustyczna;lipa;39;1599
1206;25.06.2022;ukulele tenorowe;czarny;17;1853
1207;25.06.2022;gitara klasyczna;niebieski;38;369
1208;25.06.2022;ukulele sopranowe;niebieski;13;229
1209;25.06.2022;ukulele sopranowe;buk;13;259
1210;25.06.2022;gitara klasyczna;czarny;39;795
1211;26.06.2022;gitara elektryczna;jesion;39;1199
1212;26.06.2022;ukulele tenorowe;bia造;17;699
1213;26.06.2022;ukulele basowe;lipa;15;1499
1214;26.06.2022;ukulele basowe;niebieski;15;1199
1215;26.06.2022;gitara klasyczna;klon;30;1399
1216;26.06.2022;gitara akustyczna;niebieski;39;1129
1217;26.06.2022;ukulele sopranowe;klon;13;229
1218;26.06.2022;gitara elektryczna;lipa;39;499
1219;26.06.2022;gitara akustyczna;lipa;38;649
1220;26.06.2022;gitara basowa;lipa;39;1329
1221;26.06.2022;gitara klasyczna;lipa;38;796
1222;26.06.2022;ukulele tenorowe;r騜owy;17;699
1223;27.06.2022;ukulele tenorowe;lipa;17;1853
1224;27.06.2022;gitara klasyczna;lipa;38;699
1225;27.06.2022;ukulele basowe;czerwony;15;1199
1226;27.06.2022;ukulele basowe;klon;15;879
1227;27.06.2022;ukulele basowe;lipa;15;699
1228;27.06.2022;gitara klasyczna;czerwony;34;360
1229;27.06.2022;ukulele tenorowe;czarny;17;229
1230;28.06.2022;ukulele basowe;lipa;15;699
1231;28.06.2022;gitara akustyczna;buk;39;1599
1232;28.06.2022;gitara akustyczna;czerwony;39;955
1233;28.06.2022;gitara akustyczna;klon;39;465
1234;28.06.2022;ukulele tenorowe;czerwony;17;229
1235;28.06.2022;gitara elektryczna;bia造;38;1299
1236;28.06.2022;ukulele koncertowe;lipa;15;1379
1237;28.06.2022;gitara akustyczna;lipa;38;1400
1238;28.06.2022;ukulele basowe;bia造;15;1499
1239;28.06.2022;ukulele basowe;niebieski;15;1199
1240;28.06.2022;gitara akustyczna;niebieski;30;899
1241;28.06.2022;ukulele basowe;czerwony;15;1199
1242;28.06.2022;gitara elektryczna;czerwony;34;695
1243;29.06.2022;gitara elektryczna;lipa;34;695
1244;29.06.2022;ukulele basowe;bia造;15;1499
1245;29.06.2022;gitara elektryczna;czerwony;30;1299
1246;29.06.2022;gitara klasyczna;czerwony;30;699
1247;29.06.2022;gitara elektryczna;czerwony;39;1395
1248;29.06.2022;gitara akustyczna;lipa;34;360
1249;29.06.2022;gitara klasyczna;niebieski;34;360
1250;29.06.2022;gitara basowa;niebieski;30;1399
1251;29.06.2022;gitara klasyczna;niebieski;38;1195
1252;29.06.2022;ukulele basowe;lipa;15;699
1253;30.06.2022;gitara klasyczna;bia造;34;569
1254;30.06.2022;gitara klasyczna;bia造;30;699
1255;30.06.2022;ukulele tenorowe;czerwony;17;229
1256;30.06.2022;gitara elektryczna;czerwony;30;299
1257;30.06.2022;ukulele basowe;czerwony;15;699
1258;30.06.2022;gitara akustyczna;bia造;39;465
1259;30.06.2022;ukulele koncertowe;lipa;15;679
1260;30.06.2022;ukulele basowe;niebieski;15;1499
1261;30.06.2022;ukulele sopranowe;bia造;13;229
1262;30.06.2022;gitara basowa;bia造;38;1699
1263;30.06.2022;gitara akustyczna;czerwony;39;955
1264;02.07.2022;gitara akustyczna;lipa;39;955
1265;02.07.2022;gitara elektryczna;niebieski;39;1395
1266;02.07.2022;ukulele tenorowe;czarny;17;229
1267;02.07.2022;ukulele koncertowe;lipa;15;1379
1268;03.07.2022;gitara basowa;czerwony;30;1399
1269;03.07.2022;gitara elektryczna;lipa;34;480
1270;03.07.2022;gitara elektryczna;klon;30;299
1271;03.07.2022;gitara akustyczna;klon;30;1699
1272;03.07.2022;gitara akustyczna;czarny;38;1699
1273;03.07.2022;ukulele tenorowe;lipa;17;699
1274;04.07.2022;gitara elektryczna;czerwony;30;695
1275;04.07.2022;ukulele sopranowe;czarny;13;259
1276;04.07.2022;ukulele sopranowe;czerwony;13;229
1277;04.07.2022;ukulele koncertowe;czerwony;15;679
1278;04.07.2022;ukulele tenorowe;niebieski;17;1853
1279;04.07.2022;gitara elektryczna;niebieski;39;1395
1280;04.07.2022;gitara basowa;jesion;39;1699
1281;05.07.2022;ukulele tenorowe;klon;17;399
1282;05.07.2022;gitara akustyczna;klon;30;399
1283;05.07.2022;ukulele tenorowe;klon;17;399
1284;05.07.2022;gitara klasyczna;buk;30;399
1285;05.07.2022;ukulele sopranowe;buk;13;259
1286;05.07.2022;gitara basowa;czerwony;38;1999
1287;05.07.2022;ukulele koncertowe;buk;15;679
1288;05.07.2022;ukulele koncertowe;klon;15;1379
1289;05.07.2022;ukulele tenorowe;czerwony;17;399
1290;05.07.2022;gitara basowa;lipa;34;699
1291;05.07.2022;ukulele basowe;lipa;15;1199
1292;05.07.2022;ukulele basowe;r騜owy;15;1199
1293;05.07.2022;gitara akustyczna;czarny;34;260
1294;05.07.2022;gitara klasyczna;bia造;30;399
1295;06.07.2022;gitara elektryczna;bia造;34;480
1296;06.07.2022;gitara akustyczna;lipa;39;1599
1297;06.07.2022;ukulele koncertowe;lipa;15;679
1298;06.07.2022;gitara akustyczna;czarny;30;399
1299;06.07.2022;ukulele basowe;niebieski;15;1199
1300;06.07.2022;ukulele sopranowe;lipa;13;229
1301;06.07.2022;gitara akustyczna;lipa;34;260
1302;06.07.2022;gitara akustyczna;lipa;30;399
1303;07.07.2022;ukulele basowe;czerwony;15;1199
1304;07.07.2022;gitara klasyczna;czerwony;30;399
1305;07.07.2022;ukulele koncertowe;buk;15;1379
1306;07.07.2022;ukulele tenorowe;lipa;17;399
1307;07.07.2022;gitara elektryczna;niebieski;30;1299
1308;07.07.2022;ukulele tenorowe;czerwony;17;1853
1309;07.07.2022;gitara elektryczna;buk;39;499
1310;07.07.2022;gitara akustyczna;lipa;38;955
1311;07.07.2022;ukulele sopranowe;bia造;13;229
1312;09.07.2022;gitara elektryczna;bia造;34;480
1313;09.07.2022;ukulele basowe;lipa;15;1199
1314;09.07.2022;gitara klasyczna;bia造;30;399
1315;09.07.2022;gitara klasyczna;czarny;39;699
1316;09.07.2022;ukulele tenorowe;czerwony;17;699
1317;09.07.2022;gitara akustyczna;czerwony;30;299
1318;09.07.2022;ukulele sopranowe;lipa;13;229
1319;09.07.2022;ukulele basowe;bia造;15;1499
1320;10.07.2022;ukulele tenorowe;r騜owy;17;699
1321;10.07.2022;ukulele tenorowe;lipa;17;399
1322;10.07.2022;ukulele basowe;lipa;15;1499
1323;10.07.2022;gitara akustyczna;bia造;38;1400
1324;10.07.2022;ukulele koncertowe;niebieski;15;1379
1325;11.07.2022;ukulele basowe;r騜owy;15;699
1326;11.07.2022;ukulele tenorowe;lipa;17;399
1327;11.07.2022;gitara basowa;czerwony;39;789
1328;11.07.2022;gitara elektryczna;lipa;30;895
1329;11.07.2022;ukulele tenorowe;r騜owy;17;399
1330;11.07.2022;gitara klasyczna;niebieski;34;569
1331;11.07.2022;ukulele sopranowe;czarny;13;229
1332;11.07.2022;ukulele sopranowe;czarny;13;259
1333;11.07.2022;ukulele koncertowe;buk;15;379
1334;11.07.2022;ukulele basowe;czarny;15;699
1335;11.07.2022;gitara akustyczna;lipa;30;299
1336;11.07.2022;ukulele koncertowe;lipa;15;679
1337;11.07.2022;ukulele sopranowe;czarny;13;229
1338;12.07.2022;ukulele sopranowe;niebieski;13;229
1339;12.07.2022;ukulele tenorowe;czarny;17;399
1340;12.07.2022;gitara basowa;lipa;38;899
1341;12.07.2022;gitara elektryczna;buk;30;399
1342;12.07.2022;ukulele sopranowe;lipa;13;259
1343;12.07.2022;gitara basowa;niebieski;38;1699
1344;13.07.2022;gitara elektryczna;buk;34;695
1345;13.07.2022;ukulele basowe;bia造;15;1499
1346;13.07.2022;ukulele tenorowe;bia造;17;399
1347;13.07.2022;ukulele sopranowe;jesion;13;169
1348;13.07.2022;gitara basowa;niebieski;38;1999
1349;13.07.2022;gitara akustyczna;niebieski;39;1129
1350;13.07.2022;gitara elektryczna;czerwony;34;699
1351;13.07.2022;gitara elektryczna;czerwony;34;695
1352;13.07.2022;gitara elektryczna;lipa;34;695
1353;13.07.2022;ukulele basowe;lipa;15;1199
1354;13.07.2022;gitara klasyczna;czerwony;30;699
1355;13.07.2022;gitara klasyczna;bia造;30;499
1356;14.07.2022;ukulele basowe;klon;15;1499
1357;14.07.2022;gitara akustyczna;czarny;34;260
1358;14.07.2022;ukulele koncertowe;lipa;15;379
1359;14.07.2022;ukulele koncertowe;buk;15;679
1360;14.07.2022;gitara basowa;lipa;38;899
1361;14.07.2022;ukulele basowe;r騜owy;15;1499
1362;14.07.2022;ukulele basowe;czerwony;15;1199
1363;14.07.2022;gitara elektryczna;bia造;38;1299
1364;14.07.2022;gitara akustyczna;czarny;30;499
1365;16.07.2022;gitara akustyczna;bia造;39;465
1366;16.07.2022;gitara akustyczna;niebieski;34;360
1367;16.07.2022;ukulele koncertowe;buk;15;1379
1368;16.07.2022;gitara elektroakustyczna;buk;39;1499
1369;17.07.2022;gitara klasyczna;lipa;39;699
1370;17.07.2022;ukulele tenorowe;lipa;17;1853
1371;17.07.2022;gitara elektryczna;bia造;39;1199
1372;17.07.2022;gitara akustyczna;buk;30;899
1373;17.07.2022;ukulele koncertowe;niebieski;15;1199
1374;17.07.2022;ukulele sopranowe;lipa;13;169
1375;17.07.2022;gitara basowa;czerwony;30;1799
1376;17.07.2022;gitara basowa;lipa;38;1699
1377;18.07.2022;ukulele tenorowe;czarny;17;699
1378;18.07.2022;gitara elektryczna;buk;39;899
1379;18.07.2022;ukulele koncertowe;bia造;15;1379
1380;18.07.2022;gitara basowa;niebieski;34;699
1381;18.07.2022;ukulele sopranowe;czerwony;13;169
1382;19.07.2022;gitara basowa;niebieski;38;1999
1383;19.07.2022;gitara elektryczna;czarny;30;399
1384;19.07.2022;gitara elektryczna;buk;38;899
1385;19.07.2022;gitara akustyczna;lipa;38;1699
1386;19.07.2022;ukulele basowe;czerwony;15;1199
1387;19.07.2022;ukulele koncertowe;bia造;15;265
1388;19.07.2022;gitara elektryczna;lipa;39;899
1389;19.07.2022;ukulele koncertowe;bia造;15;1379
1390;19.07.2022;ukulele tenorowe;czarny;17;699
1391;19.07.2022;gitara klasyczna;czerwony;38;369
1392;19.07.2022;gitara elektryczna;bia造;30;399
1393;19.07.2022;gitara elektryczna;niebieski;39;1199
1394;20.07.2022;ukulele tenorowe;klon;17;399
1395;20.07.2022;ukulele sopranowe;klon;13;259
1396;20.07.2022;ukulele tenorowe;czarny;17;399
1397;20.07.2022;gitara klasyczna;czerwony;30;1399
1398;20.07.2022;ukulele tenorowe;czerwony;17;399
1399;20.07.2022;gitara basowa;niebieski;38;1999
1400;20.07.2022;gitara elektryczna;czarny;30;399
1401;20.07.2022;gitara elektryczna;buk;38;899
1402;20.07.2022;gitara basowa;niebieski;30;1699
1403;21.07.2022;ukulele tenorowe;jesion;17;1853
1404;21.07.2022;gitara elektryczna;bia造;30;695
1405;21.07.2022;gitara akustyczna;bia造;39;465
1406;21.07.2022;gitara akustyczna;lipa;34;360
1407;21.07.2022;ukulele sopranowe;czerwony;13;229
1408;21.07.2022;ukulele basowe;bia造;15;879
1409;21.07.2022;ukulele koncertowe;niebieski;15;1199
1410;21.07.2022;ukulele basowe;czarny;15;699
1411;21.07.2022;ukulele basowe;lipa;15;1499
1412;21.07.2022;gitara basowa;bia造;34;699
1413;21.07.2022;gitara akustyczna;lipa;38;649
1414;21.07.2022;ukulele sopranowe;czarny;13;229
1415;23.07.2022;gitara elektryczna;lipa;30;695
1416;23.07.2022;ukulele tenorowe;czarny;17;399
1417;23.07.2022;ukulele tenorowe;czarny;17;399
1418;23.07.2022;gitara akustyczna;lipa;38;1400
1419;23.07.2022;ukulele koncertowe;lipa;15;1379
1420;23.07.2022;ukulele basowe;niebieski;15;699
1421;23.07.2022;gitara akustyczna;czerwony;39;1599
1422;23.07.2022;ukulele basowe;lipa;15;1499
1423;24.07.2022;ukulele sopranowe;klon;13;229
1424;24.07.2022;gitara akustyczna;lipa;30;399
1425;24.07.2022;gitara elektryczna;buk;34;695
1426;24.07.2022;ukulele basowe;bia造;15;879
1427;24.07.2022;gitara elektryczna;niebieski;39;499
1428;24.07.2022;ukulele tenorowe;lipa;17;399
1429;24.07.2022;ukulele tenorowe;bia造;17;399
1430;24.07.2022;gitara akustyczna;czerwony;39;955
1431;24.07.2022;ukulele koncertowe;czerwony;15;265
1432;24.07.2022;ukulele sopranowe;bia造;13;259
1433;25.07.2022;gitara elektryczna;czerwony;39;1395
1434;25.07.2022;ukulele koncertowe;klon;15;379
1435;26.07.2022;ukulele basowe;lipa;15;1199
1436;26.07.2022;gitara elektryczna;klon;34;480
1437;26.07.2022;gitara basowa;bia造;38;1699
1438;26.07.2022;ukulele koncertowe;czerwony;15;679
1439;27.07.2022;ukulele koncertowe;lipa;15;679
1440;27.07.2022;ukulele tenorowe;niebieski;17;699
1441;27.07.2022;gitara elektryczna;czerwony;39;899
1442;27.07.2022;gitara akustyczna;lipa;30;399
1443;27.07.2022;ukulele tenorowe;klon;17;699
1444;28.07.2022;ukulele sopranowe;czarny;13;169
1445;28.07.2022;gitara klasyczna;klon;39;499
1446;28.07.2022;ukulele tenorowe;r騜owy;17;1853
1447;28.07.2022;ukulele tenorowe;lipa;17;399
1448;28.07.2022;ukulele sopranowe;lipa;13;169
1449;28.07.2022;gitara akustyczna;czerwony;39;1129
1450;30.07.2022;gitara akustyczna;niebieski;30;399
1451;30.07.2022;gitara akustyczna;czerwony;30;1699
1452;30.07.2022;ukulele sopranowe;czerwony;13;169
1453;30.07.2022;ukulele koncertowe;czerwony;15;1379
1454;30.07.2022;ukulele tenorowe;lipa;17;399
1455;30.07.2022;ukulele koncertowe;niebieski;15;1199
1456;30.07.2022;ukulele tenorowe;lipa;17;399
1457;30.07.2022;ukulele sopranowe;czarny;13;259
1458;30.07.2022;gitara akustyczna;jesion;39;1129
1459;30.07.2022;gitara klasyczna;niebieski;38;796
1460;31.07.2022;ukulele tenorowe;lipa;17;1853
1461;31.07.2022;gitara basowa;lipa;30;499
1462;31.07.2022;gitara elektryczna;buk;38;699
1463;01.08.2022;gitara basowa;klon;30;1799
1464;01.08.2022;ukulele sopranowe;bia造;13;229
1465;01.08.2022;ukulele koncertowe;bia造;15;265
1466;01.08.2022;gitara elektryczna;niebieski;34;480
1467;01.08.2022;ukulele basowe;niebieski;15;1499
1468;01.08.2022;gitara klasyczna;lipa;39;1099
1469;01.08.2022;gitara elektryczna;lipa;39;899
1470;01.08.2022;ukulele sopranowe;czerwony;13;229
1471;01.08.2022;gitara akustyczna;lipa;34;260
1472;01.08.2022;ukulele koncertowe;lipa;15;379
1473;02.08.2022;ukulele tenorowe;r騜owy;17;699
1474;02.08.2022;ukulele sopranowe;czarny;13;259
1475;02.08.2022;ukulele koncertowe;czerwony;15;1379
1476;02.08.2022;gitara klasyczna;czerwony;38;699
1477;02.08.2022;gitara basowa;niebieski;39;1129
1478;02.08.2022;gitara elektryczna;niebieski;39;699
1479;02.08.2022;ukulele basowe;bia造;15;1199
1480;02.08.2022;gitara elektryczna;lipa;38;699
1481;02.08.2022;gitara basowa;niebieski;34;699
1482;02.08.2022;gitara akustyczna;czerwony;38;955
1483;03.08.2022;ukulele sopranowe;lipa;13;169
1484;03.08.2022;ukulele basowe;czerwony;15;879
1485;03.08.2022;gitara akustyczna;lipa;30;899
1486;03.08.2022;gitara akustyczna;lipa;38;1699
1487;03.08.2022;ukulele basowe;buk;15;699
1488;03.08.2022;ukulele basowe;lipa;15;1499
1489;04.08.2022;gitara elektryczna;niebieski;30;299
1490;04.08.2022;ukulele sopranowe;lipa;13;169
1491;04.08.2022;gitara klasyczna;czarny;30;1399
1492;04.08.2022;ukulele sopranowe;czerwony;13;169
1493;04.08.2022;ukulele sopranowe;lipa;13;169
1494;04.08.2022;ukulele tenorowe;czarny;17;699
1495;04.08.2022;ukulele tenorowe;czerwony;17;1853
1496;04.08.2022;ukulele koncertowe;lipa;15;379
1497;06.08.2022;ukulele koncertowe;lipa;15;265
1498;06.08.2022;ukulele basowe;bia造;15;1199
1499;06.08.2022;gitara klasyczna;jesion;30;399
1500;06.08.2022;gitara klasyczna;czerwony;30;399
1501;06.08.2022;gitara akustyczna;lipa;38;1699
1502;06.08.2022;ukulele sopranowe;lipa;13;229
1503;06.08.2022;ukulele sopranowe;niebieski;13;259
1504;07.08.2022;gitara akustyczna;lipa;38;649
1505;07.08.2022;ukulele koncertowe;niebieski;15;679
1506;07.08.2022;gitara klasyczna;czarny;38;1195
1507;07.08.2022;ukulele koncertowe;buk;15;379
1508;07.08.2022;gitara klasyczna;lipa;34;569
1509;07.08.2022;ukulele sopranowe;niebieski;13;229
1510;07.08.2022;ukulele sopranowe;czarny;13;259
1511;07.08.2022;ukulele basowe;czarny;15;1499
1512;07.08.2022;ukulele sopranowe;lipa;13;169
1513;07.08.2022;ukulele basowe;czarny;15;879
1514;08.08.2022;gitara akustyczna;bia造;34;260
1515;08.08.2022;gitara elektryczna;niebieski;39;1199
1516;08.08.2022;ukulele koncertowe;lipa;15;1379
1517;08.08.2022;ukulele basowe;czarny;15;1199
1518;09.08.2022;ukulele sopranowe;buk;13;169
1519;09.08.2022;ukulele basowe;klon;15;879
1520;09.08.2022;ukulele basowe;czerwony;15;699
1521;10.08.2022;ukulele basowe;lipa;15;1499
1522;10.08.2022;ukulele basowe;buk;15;699
1523;10.08.2022;gitara elektryczna;lipa;34;480
1524;10.08.2022;gitara klasyczna;niebieski;39;795
1525;10.08.2022;gitara elektryczna;niebieski;30;299
1526;11.08.2022;gitara elektryczna;niebieski;30;299
1527;11.08.2022;ukulele sopranowe;jesion;13;229
1528;11.08.2022;gitara klasyczna;czerwony;39;499
1529;11.08.2022;gitara klasyczna;niebieski;39;1099
1530;11.08.2022;gitara elektryczna;czerwony;39;899
1531;11.08.2022;ukulele koncertowe;niebieski;15;679
1532;11.08.2022;gitara elektryczna;czerwony;30;895
1533;11.08.2022;ukulele sopranowe;niebieski;13;259
1534;11.08.2022;gitara akustyczna;lipa;34;260
1535;11.08.2022;ukulele sopranowe;lipa;13;229
1536;11.08.2022;ukulele sopranowe;jesion;13;229
1537;11.08.2022;gitara basowa;lipa;38;1999
1538;11.08.2022;gitara elektroakustyczna;lipa;38;2599
1539;13.08.2022;ukulele koncertowe;lipa;15;1379
1540;13.08.2022;ukulele sopranowe;r騜owy;13;259
1541;13.08.2022;gitara elektroakustyczna;bia造;34;480
1542;13.08.2022;gitara elektryczna;buk;39;499
1543;14.08.2022;gitara klasyczna;lipa;39;699
1544;14.08.2022;gitara klasyczna;niebieski;30;399
1545;14.08.2022;gitara klasyczna;niebieski;39;795
1546;14.08.2022;gitara klasyczna;klon;34;499
1547;16.08.2022;gitara elektryczna;niebieski;34;695
1548;16.08.2022;ukulele basowe;czerwony;15;699
